station,kind,key,value
汐科,dow,一,28281.2
汐科,dow,二,29019.5
汐科,dow,三,28514.1
汐科,dow,四,27756.6
汐科,dow,五,28073.9
汐科,dow,六,13756.2
汐科,dow,日,11646.2
內灣,dow,一,512.2
內灣,dow,二,552.3
內灣,dow,三,562.2
內灣,dow,四,639.0
內灣,dow,五,763.2
內灣,dow,六,1743.5
內灣,dow,日,1695.6
白沙屯,dow,一,2176.2
白沙屯,dow,二,1916.3
白沙屯,dow,三,2331.0
白沙屯,dow,四,2374.1
白沙屯,dow,五,2074.6
白沙屯,dow,六,3373.1
白沙屯,dow,日,4633.4
南港,dow,一,33878.3
南港,dow,二,34069.9
南港,dow,三,34100.1
南港,dow,四,34288.9
南港,dow,五,37927.8
南港,dow,六,28641.6
南港,dow,日,25922.1
汐科,month,2024-01,24094.2
汐科,month,2024-02,20781.1
汐科,month,2024-03,23658.7
汐科,month,2024-04,22960.0
汐科,month,2024-05,24330.3
汐科,month,2024-06,22522.7
汐科,month,2024-07,22883.9
汐科,month,2024-08,24188.5
汐科,month,2024-09,23251.6
汐科,month,2024-10,22151.5
汐科,month,2024-11,25168.1
汐科,month,2024-12,25612.2
汐科,month,2025-01,22378.5
汐科,month,2025-02,25618.1
汐科,month,2025-03,24866.3
汐科,month,2025-04,24416.6
汐科,month,2025-05,23792.8
汐科,month,2025-06,24538.7
汐科,month,2025-07,24702.8
汐科,month,2025-08,23804.3
汐科,month,2025-09,24257.7
汐科,month,2025-10,22974.4
汐科,month,2025-11,24274.5
汐科,month,2025-12,25076.7
汐科,month,2026-01,24508.8
汐科,month,2026-02,21358.4
汐科,month,2026-03,25034.2
汐科,month,2026-04,24368.4
汐科,month,2026-05,24064.0
汐科,month,2026-06,24323.2
汐科,month,2026-07,24316.3
內灣,month,2024-01,900.4
內灣,month,2024-02,1464.0
內灣,month,2024-03,818.0
內灣,month,2024-04,937.1
內灣,month,2024-05,895.9
內灣,month,2024-06,912.3
內灣,month,2024-07,766.6
內灣,month,2024-08,866.7
內灣,month,2024-09,697.0
內灣,month,2024-10,819.7
內灣,month,2024-11,882.4
內灣,month,2024-12,907.2
內灣,month,2025-01,1145.6
內灣,month,2025-02,1076.0
內灣,month,2025-03,984.4
內灣,month,2025-04,1145.3
內灣,month,2025-05,962.7
內灣,month,2025-06,898.9
內灣,month,2025-07,791.9
內灣,month,2025-08,1014.1
內灣,month,2025-09,790.8
內灣,month,2025-10,908.1
內灣,month,2025-11,962.1
內灣,month,2025-12,802.0
內灣,month,2026-01,943.7
內灣,month,2026-02,1337.8
內灣,month,2026-03,767.5
內灣,month,2026-04,830.7
內灣,month,2026-05,1032.1
內灣,month,2026-06,666.8
內灣,month,2026-07,717.1
白沙屯,month,2024-01,1049.3
白沙屯,month,2024-02,2599.1
白沙屯,month,2024-03,4408.3
白沙屯,month,2024-04,2785.7
白沙屯,month,2024-05,2048.5
白沙屯,month,2024-06,1484.2
白沙屯,month,2024-07,1174.0
白沙屯,month,2024-08,975.0
白沙屯,month,2024-09,1326.2
白沙屯,month,2024-10,1362.8
白沙屯,month,2024-11,1533.1
白沙屯,month,2024-12,1466.2
白沙屯,month,2025-01,1802.5
白沙屯,month,2025-02,2061.0
白沙屯,month,2025-03,2191.9
白沙屯,month,2025-04,3235.6
白沙屯,month,2025-05,6355.7
白沙屯,month,2025-06,2734.9
白沙屯,month,2025-07,1691.5
白沙屯,month,2025-08,1665.7
白沙屯,month,2025-09,1219.5
白沙屯,month,2025-10,1613.1
白沙屯,month,2025-11,1839.3
白沙屯,month,2025-12,1740.5
白沙屯,month,2026-01,1613.0
白沙屯,month,2026-02,2911.9
白沙屯,month,2026-03,3176.5
白沙屯,month,2026-04,18853.6
白沙屯,month,2026-05,3620.4
白沙屯,month,2026-06,1521.9
白沙屯,month,2026-07,1721.6
南港,month,2024-01,30008.9
南港,month,2024-02,27971.1
南港,month,2024-03,30468.0
南港,month,2024-04,29594.4
南港,month,2024-05,31185.9
南港,month,2024-06,30549.9
南港,month,2024-07,29535.2
南港,month,2024-08,31623.9
南港,month,2024-09,31584.6
南港,month,2024-10,29831.3
南港,month,2024-11,34176.9
南港,month,2024-12,34699.3
南港,month,2025-01,30848.0
南港,month,2025-02,33505.7
南港,month,2025-03,34399.8
南港,month,2025-04,34888.8
南港,month,2025-05,34178.3
南港,month,2025-06,34021.7
南港,month,2025-07,33492.6
南港,month,2025-08,34425.7
南港,month,2025-09,34057.6
南港,month,2025-10,33610.2
南港,month,2025-11,34968.0
南港,month,2025-12,35406.4
南港,month,2026-01,33783.1
南港,month,2026-02,31420.1
南港,month,2026-03,34051.3
南港,month,2026-04,33854.9
南港,month,2026-05,34135.0
南港,month,2026-06,33802.0
南港,month,2026-07,33454.4
