station,radius_m,level,n_units_touched,n_units_unjoined,pop_area_weighted,pop_centroid_in_circle,pop_all_touched_units,data_time,boundary_version
汐科,500,minstat,88,0,18710,20178,20882,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
汐科,500,village,8,0,13495,15438,47487,11507(2026-07),VILLAGE_NLSC_1150817
汐科,1000,minstat,199,0,40998,42470,46925,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
汐科,1000,village,18,0,41316,39981,89021,11507(2026-07),VILLAGE_NLSC_1150817
南港,500,minstat,53,0,10355,10941,11812,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
南港,500,village,6,0,8140,6267,34260,11507(2026-07),VILLAGE_NLSC_1150817
南港,1000,minstat,150,0,29774,30550,33945,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
南港,1000,village,11,0,26820,29166,58437,11507(2026-07),VILLAGE_NLSC_1150817
內灣,500,minstat,10,0,677,751,901,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
內灣,500,village,1,0,151,0,900,11507(2026-07),VILLAGE_NLSC_1150817
內灣,1000,minstat,18,0,882,891,1280,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
內灣,1000,village,5,0,575,900,3601,11507(2026-07),VILLAGE_NLSC_1150817
白沙屯,500,minstat,13,0,758,889,1517,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
白沙屯,500,village,3,0,591,749,3046,11507(2026-07),VILLAGE_NLSC_1150817
白沙屯,1000,minstat,31,0,2617,2737,3178,113Y12M(2024-12),最小統計區圖 U0200_2015 (2018-07 發布)
白沙屯,1000,village,4,0,1832,2308,4253,11507(2026-07),VILLAGE_NLSC_1150817
